"Error Email Recipient","Empfänger der Fehler E-Mails"
"Error Email Sender","Sender der Fehler E-Mails"
"Error Email Template","Template für Fehler E-Mails"
"Please set here the recipient for error mails.","Bitte geben Sie hier den Empfänger der Fehler E-Mails an."
"Please select here the sender of error emails.","Bitte wählen Sie hier den Versender der Fehler E-Mail aus."
"Please select here the email template.","Bitte wählen Sie hier das E-Mail-Template aus."
"Trusted Shops Buyer Protection","Trusted Shops Käuferschutz"
"Trusted Shops Password","Trusted Shops Passwort"
"Trusted Shops User","Trusted Shops Benutzerkennung"
"Quality Label code","Qualitäts Label Code"
"Quality Label logo image","Qualitäts Label Logo"
"Quality Label background image","Qualitäts Label Hintergrundbild"
"SOAP Check","SOAP Prüfung"
"The Trusted Shops Quality Label image","Das TS Qualitäts Label"
"The background image of the Trusted Shops Quality Label","Das Hintergrundbild des Qualitäts Label von TS"
